epoch,train_loss,valid_loss,accuracy,time,model
0,1.508468,1.376215,0.5029,00:10,xresnet18
1,1.244234,1.2054610000000001,0.5612,00:11,xresnet18
2,1.097435,1.126994,0.6053,00:11,xresnet18
3,0.993647,0.9764889999999999,0.6541,00:10,xresnet18
4,0.883774,0.883992,0.6957,00:11,xresnet18
5,0.796199,0.788546,0.7316,00:11,xresnet18
6,0.73078,0.702657,0.7587,00:11,xresnet18
7,0.680045,0.65249,0.7769,00:11,xresnet18
8,0.625482,0.655706,0.7755,00:11,xresnet18
9,0.561316,0.587651,0.8029,00:11,xresnet18
10,0.524508,0.582674,0.8025,00:11,xresnet18
11,0.475976,0.502015,0.8298,00:11,xresnet18
12,0.44224600000000003,0.5028199999999999,0.8311,00:11,xresnet18
13,0.399154,0.482491,0.838,00:11,xresnet18
14,0.377855,0.462366,0.8461,00:11,xresnet18
15,0.345821,0.444619,0.8535,00:11,xresnet18
16,0.305054,0.44340100000000005,0.8572,00:11,xresnet18
17,0.288481,0.42727299999999996,0.8612,00:11,xresnet18
18,0.250161,0.42370699999999994,0.8657,00:11,xresnet18
19,0.232452,0.413188,0.8723,00:11,xresnet18
20,0.204149,0.41537299999999994,0.8714,00:11,xresnet18
21,0.187553,0.410941,0.8743,00:11,xresnet18
22,0.168462,0.409279,0.8766,00:11,xresnet18
23,0.16899,0.412129,0.8755,00:11,xresnet18
24,0.16715,0.413501,0.8751,00:11,xresnet18
0,1.326611,1.286052,0.5305,00:42,wrn22
1,1.056397,1.268464,0.5646,00:42,wrn22
2,0.8375370000000001,0.812904,0.7055,00:42,wrn22
3,0.698156,0.817616,0.7174,00:42,wrn22
4,0.594746,0.721604,0.7679,00:42,wrn22
5,0.531135,0.585952,0.7995,00:42,wrn22
6,0.479494,0.700271,0.7809,00:42,wrn22
7,0.40127199999999996,0.47116800000000003,0.8428,00:42,wrn22
8,0.357527,0.408777,0.8612,00:42,wrn22
9,0.306628,0.38797600000000004,0.8704,00:42,wrn22
10,0.262837,0.337281,0.889,00:42,wrn22
11,0.23954699999999998,0.326656,0.8939,00:42,wrn22
12,0.21204499999999998,0.33568600000000004,0.8897,00:42,wrn22
13,0.184585,0.27960300000000005,0.9113,00:42,wrn22
14,0.150605,0.32419499999999996,0.9007,00:42,wrn22
15,0.127335,0.263594,0.9205,00:42,wrn22
16,0.09919700000000001,0.254967,0.9223,00:42,wrn22
17,0.082134,0.260373,0.9232,00:42,wrn22
18,0.057533,0.255419,0.9307,00:42,wrn22
19,0.045939,0.251635,0.9334,00:42,wrn22
20,0.036125,0.256176,0.9332,00:42,wrn22
21,0.02415,0.26283,0.9366,00:42,wrn22
22,0.019643,0.25756999999999997,0.938,00:42,wrn22
23,0.016779,0.260251,0.9361,00:42,wrn22
24,0.013553999999999998,0.26056599999999996,0.9376,00:42,wrn22
0,1.588714,1.478677,0.4753,00:20,xresnet50
1,1.374323,1.322537,0.5254,00:20,xresnet50
2,1.278606,1.24539,0.5517,00:20,xresnet50
3,1.150395,1.1755149999999999,0.594,00:20,xresnet50
4,1.048777,1.0351139999999999,0.6378,00:20,xresnet50
5,0.9525530000000001,0.9960760000000001,0.6577,00:20,xresnet50
6,0.860369,0.92648,0.6827,00:21,xresnet50
7,0.767358,0.895574,0.6934,00:20,xresnet50
8,0.720056,0.6570779999999999,0.7696,00:21,xresnet50
9,0.649011,0.649389,0.7781,00:21,xresnet50
10,0.594975,0.6250640000000001,0.7874,00:21,xresnet50
11,0.528358,0.560136,0.8072,00:21,xresnet50
12,0.48384399999999994,0.581717,0.8104,00:21,xresnet50
13,0.45839300000000005,0.5263220000000001,0.8206,00:21,xresnet50
14,0.41025,0.527403,0.8237,00:21,xresnet50
15,0.377769,0.520564,0.8321,00:21,xresnet50
16,0.337345,0.509704,0.8367,00:21,xresnet50
17,0.30102399999999996,0.486813,0.8433,00:21,xresnet50
18,0.27924699999999997,0.471249,0.8488,00:21,xresnet50
19,0.24702399999999997,0.473843,0.8504,00:21,xresnet50
20,0.21575999999999998,0.47578400000000004,0.8559,00:21,xresnet50
21,0.20053800000000002,0.468237,0.8604,00:21,xresnet50
22,0.179076,0.47522700000000007,0.8589,00:21,xresnet50
23,0.17694100000000001,0.46856800000000004,0.8592,00:21,xresnet50
24,0.166937,0.466156,0.8593,00:21,xresnet50
0,1.412499,1.315674,0.5255,00:15,xresnet34
1,1.20181,1.14941,0.5907,00:15,xresnet34
2,1.073335,1.060698,0.6305,00:15,xresnet34
3,0.954886,0.906566,0.6839,00:15,xresnet34
4,0.8584870000000001,0.7896989999999999,0.7303,00:15,xresnet34
5,0.778929,1.249457,0.6112,00:15,xresnet34
6,0.7175189999999999,0.87745,0.6992,00:15,xresnet34
7,0.64907,0.748117,0.751,00:15,xresnet34
8,0.617835,0.650598,0.7746,00:15,xresnet34
9,0.537465,0.648728,0.7853,00:15,xresnet34
10,0.5197470000000001,0.6035050000000001,0.7983,00:15,xresnet34
11,0.46603900000000004,0.696191,0.776,00:15,xresnet34
12,0.42562700000000003,0.486683,0.837,00:15,xresnet34
13,0.410793,0.495542,0.837,00:15,xresnet34
14,0.365784,0.487492,0.8406,00:15,xresnet34
15,0.322664,0.442272,0.8516,00:15,xresnet34
16,0.294736,0.46188199999999996,0.8532,00:15,xresnet34
17,0.271063,0.426472,0.8638,00:15,xresnet34
18,0.236078,0.41230600000000006,0.8695,00:15,xresnet34
19,0.209356,0.40195,0.8754,00:15,xresnet34
20,0.18850999999999998,0.389011,0.8775,00:15,xresnet34
21,0.16625,0.39618000000000003,0.8791,00:15,xresnet34
22,0.149869,0.396348,0.8814,00:15,xresnet34
23,0.151763,0.398372,0.8811,00:15,xresnet34
24,0.148445,0.397142,0.8803,00:15,xresnet34
