/home/gobind/.fastai/data/cifar10
epoch     train_loss  valid_loss  accuracy  time    
0         3.611644    #na#        00:10     
LR Finder is complete, type {learner_name}.recorder.plot() to see the graph.
Min numerical gradient: 2.51E-03
Min loss divided by 10: 2.29E-03
epoch     train_loss  valid_loss  accuracy  time    
0         1.346410    1.257562    0.545400  00:41     
1         1.109961    1.030994    0.625500  00:42     
2         0.947065    1.048497    0.620300  00:42     
3         0.803209    0.803378    0.716300  00:42     
4         0.695911    0.904085    0.694600  00:42     
5         0.598961    0.619758    0.790500  00:42     
6         0.539775    0.663828    0.781100  00:42     
7         0.482137    0.557829    0.819200  00:42     
8         0.447483    0.563978    0.812300  00:42     
9         0.402436    0.495550    0.839100  00:42     
10        0.400890    0.607993    0.804600  00:42     
11        0.354206    0.606425    0.803500  00:42     
12        0.315637    0.430472    0.861000  00:42     
13        0.287904    0.412530    0.870100  00:42     
14        0.267770    0.400317    0.866200  00:42     
15        0.240144    0.333870    0.889800  00:43     
16        0.216743    0.428939    0.862300  00:43     
17        0.204188    0.309674    0.896300  00:43     
18        0.191591    0.327579    0.898100  00:43     
19        0.159612    0.277368    0.911300  00:43     
20        0.150845    0.309661    0.905200  00:43     
21        0.136718    0.298121    0.912700  00:43     
22        0.117242    0.263085    0.920600  00:43     
23        0.103395    0.309879    0.911800  00:43     
24        0.091295    0.307499    0.915000  00:42     
25        0.086721    0.299690    0.916800  00:43     
26        0.078740    0.298199    0.920000  00:43     
27        0.076027    0.287486    0.921800  00:43     
28        0.056973    0.345225    0.919100  00:43     
29        0.061116    0.282877    0.927400  00:43     
30        0.041042    0.275513    0.931500  00:43     
31        0.036560    0.281854    0.930800  00:42     
32        0.042661    0.289549    0.930600  00:43     
33        0.032974    0.305249    0.930100  00:43     
34        0.029183    0.312036    0.931800  00:43     
35        0.020859    0.294937    0.933100  00:43     
36        0.016430    0.296478    0.936800  00:43     
37        0.014167    0.317730    0.936600  00:43     
38        0.010358    0.326285    0.936800  00:43     
39        0.009368    0.319797    0.939300  00:43     
40        0.007964    0.312302    0.940800  00:43     
41        0.006485    0.312030    0.941200  00:43     
42        0.004311    0.313768    0.941400  00:43     
43        0.003441    0.318098    0.942200  00:43     
44        0.001670    0.312678    0.942900  00:43     
45        0.002129    0.317445    0.942700  00:43     
46        0.002421    0.315592    0.941900  00:43     
47        0.001372    0.317080    0.942300  00:43     
48        0.001962    0.317386    0.942300  00:43     
49        0.001803    0.316752    0.941900  00:43     
